file,percent,rows,all_agree_pct,om_avg_agree_pct,om_pm_agree_pct,avg_pm_agree_pct
APA 1998.csv,0.0,6,100.0,100.0,100.0,100.0
APA 1998.csv,0.1,5,100.0,100.0,100.0,100.0
APA 1998.csv,0.2,5,100.0,100.0,100.0,100.0
APA 1998.csv,0.3,5,100.0,100.0,100.0,100.0
APA 1998.csv,0.4,5,100.0,100.0,100.0,100.0
APA 1998.csv,0.5,4,100.0,100.0,100.0,100.0
APA 1999.csv,0.0,6,100.0,100.0,100.0,100.0
APA 1999.csv,0.1,5,100.0,100.0,100.0,100.0
APA 1999.csv,0.2,5,100.0,100.0,100.0,100.0
APA 1999.csv,0.3,5,100.0,100.0,100.0,100.0
APA 1999.csv,0.4,5,100.0,100.0,100.0,100.0
APA 2000.csv,0.0,6,100.0,100.0,100.0,100.0
APA 2000.csv,0.1,5,100.0,100.0,100.0,100.0
APA 2000.csv,0.2,5,100.0,100.0,100.0,100.0
APA 2000.csv,0.3,5,100.0,100.0,100.0,100.0
APA 2000.csv,0.4,5,100.0,100.0,100.0,100.0
APA 2000.csv,0.5,4,100.0,100.0,100.0,100.0
APA 2001.csv,0.0,6,100.0,100.0,100.0,100.0
APA 2001.csv,0.1,5,100.0,100.0,100.0,100.0
APA 2001.csv,0.2,5,100.0,100.0,100.0,100.0
APA 2001.csv,0.3,5,100.0,100.0,100.0,100.0
APA 2001.csv,0.4,5,100.0,100.0,100.0,100.0
APA 2001.csv,0.5,4,100.0,100.0,100.0,100.0
APA 2002.csv,0.0,6,100.0,100.0,100.0,100.0
APA 2002.csv,0.1,5,100.0,100.0,100.0,100.0
APA 2002.csv,0.2,5,100.0,100.0,100.0,100.0
APA 2002.csv,0.3,5,100.0,100.0,100.0,100.0
APA 2002.csv,0.4,5,100.0,100.0,100.0,100.0
APA 2002.csv,0.5,4,100.0,100.0,100.0,100.0
APA 2003.csv,0.0,6,100.0,100.0,100.0,100.0
APA 2003.csv,0.1,5,100.0,100.0,100.0,100.0
APA 2003.csv,0.2,5,100.0,100.0,100.0,100.0
APA 2003.csv,0.3,5,100.0,100.0,100.0,100.0
APA 2003.csv,0.4,5,100.0,100.0,100.0,100.0
APA 2003.csv,0.5,4,100.0,100.0,100.0,100.0
APA 2004.csv,0.0,6,100.0,100.0,100.0,100.0
APA 2004.csv,0.1,5,100.0,100.0,100.0,100.0
APA 2004.csv,0.2,5,100.0,100.0,100.0,100.0
APA 2004.csv,0.3,5,100.0,100.0,100.0,100.0
APA 2004.csv,0.4,5,100.0,100.0,100.0,100.0
APA 2004.csv,0.5,4,100.0,100.0,100.0,100.0
APA 2005.csv,0.0,6,100.0,100.0,100.0,100.0
APA 2005.csv,0.1,5,100.0,100.0,100.0,100.0
APA 2005.csv,0.2,5,100.0,100.0,100.0,100.0
APA 2005.csv,0.3,5,100.0,100.0,100.0,100.0
APA 2005.csv,0.4,5,100.0,100.0,100.0,100.0
APA 2006.csv,0.0,6,100.0,100.0,100.0,100.0
APA 2006.csv,0.1,5,100.0,100.0,100.0,100.0
APA 2006.csv,0.2,5,100.0,100.0,100.0,100.0
APA 2006.csv,0.3,5,100.0,100.0,100.0,100.0
APA 2006.csv,0.4,5,100.0,100.0,100.0,100.0
APA 2006.csv,0.5,4,100.0,100.0,100.0,100.0
APA 2007.csv,0.0,6,100.0,100.0,100.0,100.0
APA 2007.csv,0.1,5,100.0,100.0,100.0,100.0
APA 2007.csv,0.2,5,100.0,100.0,100.0,100.0
APA 2007.csv,0.3,5,100.0,100.0,100.0,100.0
APA 2007.csv,0.4,5,100.0,100.0,100.0,100.0
APA 2008.csv,0.0,6,100.0,100.0,100.0,100.0
APA 2008.csv,0.1,5,100.0,100.0,100.0,100.0
